charge_id,c_charge_desc,mturk_charge_name,,,,,,,
1,Abuse Without Great Harm,Abuse,,,,,,,
2,Accessory After the Fact,Accessory After the Fact,,,,,,,
3,Agg Abuse Elderlly/Disabled Adult,Assault,,,,,,,
4,Agg Assault Law Enforc Officer,Assault,,,,,,,
5,Agg Assault W/int Com Fel Dome,Assault,,,,,,,
6,Agg Battery Grt/Bod/Harm,Battery,,,,,,,
7,Agg Fleeing and Eluding,Assault,,,,,,,
8,Agg Fleeing/Eluding High Speed,Assault,,,,,,,
9,"Aggr Child Abuse-Torture,Punish",Child Abuse,,,,,,,
10,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,,,,,,,
11,Aggrav Child Abuse-Agg Battery,Child Abuse,,,,,,,
12,Aggrav Child Abuse-Causes Harm,Child Abuse,,,,,,,
13,Aggrav Stalking After Injunctn,Stalking,,,,,,,
14,Aggravated Assault,Assault,,,,,,,
15,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,,,,,,,
16,Aggravated Assault w/Firearm,Assault with a Deadly Weapon,,,,,,,
17,Aggravated Assault W/o Firearm,Assault,,,,,,,
18,Aggravated Battery,Battery,,,,,,,
19,Aggravated Battery (Firearm),Battery,,,,,,,
20,Aggravated Battery (Firearm/Actual Possession),Battery,,,,,,,
21,Aggravated Battery / Pregnant,Assault,,,,,,,
22,Aggravated Battery On 65/Older,Assault,,,,,,,
23,Aggress/Panhandle/Beg/Solict,Assault,,,,,,,
24,Aide/Abet Prostitution Lewdness,Aiding Prostitution,,,,,,,
25,Aiding Escape,Aiding Escape,,,,,,,
26,Alcoholic Beverage Violation-FL,Alcoholic Beverage Violation,,,,,,,
27,Armed Trafficking in Cannabis,Drug Trafficking,,,,,,,
28,arrest case no charge,arrest case no charge,,,,,,,
29,Arson II (Vehicle),Arson,,,,,,,
30,Arson in the First Degree,Arson,,,,,,,
31,Assault,Assault,,,,,,,
32,Assault Law Enforcement Officer,Assault,,,,,,,
33,Att Burgl Conv Occp,Burglary,,,,,,,
34,Att Burgl Struc/Conv Dwel/Occp,Burglary,,,,,,,
35,Att Burgl Unoccupied Dwel,Burglary,,,,,,,
36,Att Tamper w/Physical Evidence,Tampering with Physical Evidence,,,,,,,
37,Attempt Armed Burglary Dwell,Armed Burglary,,,,,,,
38,Attempt Burglary (Struct),Burglary,,,,,,,
39,Attempted Burg/Convey/Unocc,Burglary,,,,,,,
40,Attempted Burg/struct/unocc,Burglary,,,,,,,
41,Attempted Deliv Control Subst,Delivery of Controlled Substances,,,,,,,
42,Attempted Robbery  No Weapon,Robbery,,,,,,,
43,Attempted Robbery  Weapon,Robbery,,,,,,,
44,Attempted Robbery Firearm,Robbery,,,,,,,
45,Battery,Battery,,,,,,,
46,Battery Emergency Care Provide,Battery,,,,,,,
47,Battery on a Person Over 65,Battery,,,,,,,
48,Battery On Fire Fighter,Battery,,,,,,,
49,Battery on Law Enforc Officer,Battery,,,,,,,
50,Battery On Parking Enfor Speci,Battery,,,,,,,
51,Battery Spouse Or Girlfriend,Battery,,,,,,,
52,Bribery Athletic Contests,Bribery,,,,,,,
53,Burgl Dwel/Struct/Convey Armed,Burglary,,,,,,,
54,Burglary Assault/Battery Armed,Burglary,,,,,,,
55,Burglary Conveyance Armed,Burglary,,,,,,,
56,Burglary Conveyance Assault/Bat,Burglary,,,,,,,
57,Burglary Conveyance Occupied,Burglary,,,,,,,
58,Burglary Conveyance Unoccup,Burglary,,,,,,,
59,Burglary Dwelling Armed,Burglary,,,,,,,
60,Burglary Dwelling Assault/Batt,Burglary,,,,,,,
61,Burglary Dwelling Occupied,Burglary,,,,,,,
62,Burglary Structure Assault/Batt,Burglary,,,,,,,
63,Burglary Structure Occupied,Burglary,,,,,,,
64,Burglary Structure Unoccup,Burglary,,,,,,,
65,Burglary Unoccupied Dwelling,Burglary,,,,,,,
66,Burglary With Assault/battery,Burglary,,,,,,,
67,Carjacking w/o Deadly Weapon,Burglary,,,,,,,
68,Carjacking with a Firearm,Burglary,,,,,,,
69,Carry Open/Uncov Bev In Pub,Carrying an Open Beverage in Public,,,,,,,
70,Carrying A Concealed Weapon,Carrying a Concealed Weapon,,,,,,,
71,Carrying Concealed Firearm,Carrying a Concealed Weapon,,,,,,,
72,Cash Item w/Intent to Defraud,Fraud,,,,,,,
73,Cause Anoth Phone Ring Repeat,Stalking,,,,,,,
74,Child Abuse,Child Abuse,,,,,,,
75,Compulsory Attendance Violation,Compulsory Education Attendance Violation,,,,,,,
