charge_id,mturk_charge_name,full_charge_description,,,,,,,,,,,,,,,,,,,,,,
1,Abuse,The intentional infliction of physical or psychological injury,,,,,,,,,,,,,,,,,,,,,,
3,Assault,"An intentional and unlawful threat against another person, coupled with the apparent ability to carry out the threat, which creates a genuine and reasonable fear that violence or harm is imminent",,,,,,,,,,,,,,,,,,,,,,
6,Battery,Intentionally causing bodily harm to another person without a weapon,,,,,,,,,,,,,,,,,,,,,,
9,Child Abuse,Intentional infliction of physical or mental injury upon a child,,,,,,,,,,,,,,,,,,,,,,
10,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,,,,,,,,,,,,,,,,,,,,,,
13,Stalking,"When a person willfully, maliciously, and repeatedly follows, harasses, or cyberstalks another person",,,,,,,,,,,,,,,,,,,,,,
15,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",,,,,,,,,,,,,,,,,,,,,,
27,Drug Trafficking,"To sell, purchase, manufacture, deliver, possess, or transport a trafficking amount (i.e., more than personal use) of drugs",,,,,,,,,,,,,,,,,,,,,,
33,Burglary,"Unlawfully entering a dwelling or structure or remaining in a dwelling or structure after permission to remain has been withdrawn, with the intent to commit a crime inside",,,,,,,,,,,,,,,,,,,,,,
36,Tampering With Physical Evidence,"When a person alters, destroys, suppresses or conceals any record, document or thing with purpose to impair its verity, legibility or availability in any official proceeding or investigation",,,,,,,,,,,,,,,,,,,,,,
42,Robbery,"When a person intentionally and unlawfully takes money or property from another person through the use of force, violence, assault, or threat",,,,,,,,,,,,,,,,,,,,,,
70,Carrying a Concealed Weapon,"When a person knowingly carries, on or about their person, a weapon that is concealed from the ordinary sight of another person",,,,,,,,,,,,,,,,,,,,,,
72,Fraud,Wrongful or criminal deception intended to result in financial or personal gain,,,,,,,,,,,,,,,,,,,,,,
84,Contributing to the Delinquency Of A Minor,"When a person over the age of eighteen commits any act which causes, tends to cause, encourages, or contributes to a minor become delinquent, dependent, or a child in need of services",,,,,,,,,,,,,,,,,,,,,,
86,Forgery,"When a person falsely makes, alters, counterfeits, or forges a document that carries “legal efficacy”",,,,,,,,,,,,,,,,,,,,,,
90,Criminal Damage of more than $1000,"When a person willfully and maliciously damages another person's property - with damage of more than $1,000",,,,,,,,,,,,,,,,,,,,,,
91,Criminal Damage of less than $1000,"When a person willfully and maliciously damages another person's property - with damage less than $1,000",,,,,,,,,,,,,,,,,,,,,,
99,Driving Under the Influence,Operating a motor vehicle with a blood alcohol content (BAC) of 0.08% or higher,,,,,,,,,,,,,,,,,,,,,,
100,Dealing Controlled Substances,Possessing a criminalized narcotic or pharmacological drug with the intent to sell or deliver,,,,,,,,,,,,,,,,,,,,,,
104,Dealing Cannabis/Marijuana,Possessing cannabis with the intent to sell or deliver the cannabis,,,,,,,,,,,,,,,,,,,,,,
112,Dealing Cocaine,Possessing cocaine with the intent to sell or deliver the cocaine,,,,,,,,,,,,,,,,,,,,,,
122,Disorderly Conduct,"Commiting an act that corrupts the public morals, outrages the sense of public decency, or affects the peace and quiet of persons who may witness them, or engages in brawling, fightin, or other conduct that constitutes a breach of the peace",,,,,,,,,,,,,,,,,,,,,,
123,Disorderly Intoxication,"When an intoxicated person endangers the safety of another person or property, or causes a disturbance in public",,,,,,,,,,,,,,,,,,,,,,
126,Driving with a Suspended License,Driving with a license that has been suspended,,,,,,,,,,,,,,,,,,,,,,
129,Driving with a Revoked License,Driving with a license that has been revoked,,,,,,,,,,,,,,,,,,,,,,
140,Escape,"When a prisoner escapes or attempts to escape from a place of confinement, or when an arrested person who is being transported to or from a place of confinement escapes or attempts to escape from such lawful confinement",,,,,,,,,,,,,,,,,,,,,,
142,Driving with an Expired License,Driving with a license that is expired,,,,,,,,,,,,,,,,,,,,,,
145,Extradition of Defendants,The transfer of an accused criminal by one state or nation to another,,,,,,,,,,,,,,,,,,,,,,
