mTurk Code,age,gender,race,education,blockNum,
92374852,4,1,1,4,1,
21574881,3,0,1,5,1,
84614302,3,0,1,3,1,
46214566,4,1,1,3,1,
81186074,3,1,1,5,1,
55256882,2,1,1,4,1,
15704294,6,1,1,4,1,
51572788,3,1,1,5,1,
33231625,4,0,1,6,1,
61905395,3,0,1,5,1,
65219625,3,1,1,5,1,
64282726,4,0,7,6,1,
49683380,3,1,1,3,1,
37905251,6,1,2,5,1,
14370457,4,1,1,5,1,
87309745,3,0,1,2,1,
89170928,4,0,1,3,1,
41679445,2,0,1,2,1,
41612612,3,0,1,3,1,
38024342,5,1,1,4,1,
38937212,5,1,1,5,2,
42037432,3,1,5,5,2,
99404784,4,0,4,3,2,
49587689,5,1,1,4,2,
44190715,2,0,1,2,2,
21027516,4,1,1,2,2,
35761342,3,0,1,3,2,
73891538,3,0,1,3,2,
99929340,2,0,1,5,2,
85257761,5,1,1,5,2,
52942558,4,0,1,3,2,
50967913,5,1,1,6,2,
57429275,4,0,1,5,2,
53824503,3,0,3,5,2,
24114175,3,0,7,3,2,
71784950,5,0,5,2,2,
56047184,2,0,1,5,2,
10332260,3,0,1,5,2,
46188609,2,1,1,2,2,
65818137,3,0,2,3,2,
28276638,2,0,1,2,3,
48696865,4,0,1,6,3,
30066274,3,0,1,3,3,
57479904,3,0,1,5,3,
26448344,6,1,7,2,3,
73678222,3,1,1,6,3,
34079395,3,0,1,5,3,
78137432,3,1,1,5,3,
29394043,3,1,1,3,3,
90176433,5,1,1,3,3,
27978937,3,0,1,5,3,
50652357,4,0,1,2,3,
39679604,3,0,1,5,3,
90982964,3,0,4,5,3,
15845129,6,1,1,5,3,
12788910,2,1,1,4,3,
78502135,3,0,1,5,3,
39353307,4,1,1,4,3,
81547807,5,0,1,2,3,
78343753,3,0,1,5,3,
27498131,4,1,1,4,4,
62583431,2,0,1,4,4,
77007302,3,1,1,4,4,
25851709,3,1,1,5,4,
67307084,3,0,7,3,4,
23955478,3,1,1,3,4,
15568613,3,1,2,3,4,
60312723,4,1,1,4,4,
67461929,4,1,1,6,4,
80714201,4,1,1,5,4,
29139608,4,1,7,5,4,
91556420,3,0,1,5,4,
10123717,5,1,1,5,4,
12127980,4,0,1,5,4,
98533064,3,0,1,5,4,
93485141,3,0,1,5,4,
99511592,4,1,1,5,4,
66500263,3,0,1,3,4,
87785887,5,1,1,3,4,
